Name
"PD Dr. med. Tomas Pfeiffer, Singen (Hohentwiel), Chirurg, Arzt"
"Dr. med. Joachim Block, Dingolfing, Chirurg, Arzt"
"Dr. med. Bärbel Bleiler, Eschelbronn, Allgemeinmedizinerin, Ärztin"
"Dr. med. Stefanie Schmickler, Ahaus, Augenärztin, Ärztin"
"PD Dr. med. Brit Mollenhauer, Kassel, Neurologin, Ärztin"
" Paul Brämer, Hamm am Rhein, Allgemeinmediziner, Arzt"
" Jochen Zwanzger, Höslwang, Allgemeinmediziner, Arzt"
"Dr. med. Susanne Brunner, Bad Fallingbostel, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Ralf Giese, Walsrode, Chirurg, Arzt"
"Prof. Dr. med. Frank Schmitz, Walsrode, Facharzt für Innere Medizin, Arzt"
" Anton Schalk, Buxtehude, Chirurg, Arzt"
"Dr. med. Ulrich Oberländer, Buxtehude, Neurologe, Arzt"
"Dr. med. Olaf Kresse, Buxtehude, Hautarzt, Arzt"
"Dr. med. Dirk Siemoneit, Buxtehude, Facharzt für Innere Medizin, Arzt"
"Dr. med. Edith Schuler, Buxtehude, Frauenärztin, Ärztin"
" Luminita Gutu, Lutherstadt Eisleben, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Thomas Büchel, Lutherstadt Eisleben, Chirurg, Arzt"
"Prof. Dr. med. Kai Nowak, Rosenheim, Chirurg, Arzt"
"Dr. med. Frederik Mader, Nittendorf, Allgemeinmediziner, Arzt"
"Dr. med. Ralf Frönicke, München, Frauenarzt, Arzt"
"Dr. med. Angela Maria Birgitt Höcherl, München, Chirurgin, Ärztin"
"Dr. med. Rainer Beck, Regensburg, Allgemeinmediziner, Arzt"
"Dr. med. Omar Qattawi, München, Frauenarzt, Arzt"
"Dr. med. Ramin Markus Farhoumand, Uffenheim, Chirurg, Arzt"
"Dr. Szeged Ladislaus Ritter, Donauwörth, Frauenarzt, Arzt"
"PD Dr. Dr. Tobias Reuther, Schweinfurt, Mund-Kiefer-Gesichtschirurg, Arzt"
"Prof. Dr. Dr. med. Lukas Prantl, Regensburg, Plastischer Chirurg, Arzt"
"Dr. med. Henning Propp, Günzburg, Allgemeinmediziner, Arzt"
"Dr. med. Harald C. Gaeckle, Neu-Ulm, Augenarzt, Arzt"
"Prof. Dr. med. Angela Köninger, Regensburg, Frauenärztin, Ärztin"
"Dr. med. Susanne Reil, Zeven, Allgemeinmedizinerin, Ärztin"
" Erika Tiede, Zeven, Allgemeinmedizinerin, Ärztin"
"Dr. med. Ole Rathje, Nottensdorf, Allgemeinmediziner, Arzt"
" Kai Sperling, Zeven, Allgemeinmediziner, Arzt"
" Hans-Georg Stoy, Dollern, Allgemeinmediziner, Arzt"
"Dr. med. Gudrun Simon, Stade, Allgemeinmedizinerin, Ärztin"
" Catrin-Susann Jäger, Guderhandviertel, Allgemeinmedizinerin, Ärztin"
" Zahra Pamirsad, Harsefeld, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Jan Kröger, Harsefeld, Facharzt für Innere Medizin, Arzt"
" Nikolai Gorbachevski, Ahlen, HNO Arzt, Arzt"
"Dr. med. Frank Klammer, Ahlen, Chirurg, Arzt"
"Dr. med. Udo Rengel, Ahlen, Urologe, Arzt"
" Manfred Hermsen, Ahlen, Kinderarzt, Arzt"
"Dr. med. Ralf Köneke, Ahlen, Neurologe, Arzt"
" Sven Wild, Ahlen, Kinderarzt, Arzt"
"Dr. Dr. med. Markus Gantert, Ahlen, Frauenarzt, Arzt"
"Dr. med. Volker Kühlkamp, Ahlen, Facharzt für Innere Medizin, Arzt"
